Gene_ID_v2,Gene_name,LFC_invitro,log2FoldChange,padj
B9J08_002136,,-10.0,14.9824626770074,4.74750057163908e-32
B9J08_001458,SCF1,8.611549656,-8.66898378965657,1.37947592039341e-128
B9J08_004451,,6.809597233,-6.73645735660014,2.22902998223412e-20
B9J08_001549,,-6.124676706,6.08888454580532,2.9162613661486e-53
B9J08_000592,,5.991984446,-6.0159483076448,7.77620060858537e-84
B9J08_002480,,-5.266080783,5.25529010728817,6.50536738993958e-12
B9J08_001515,,5.163949028,-5.16523312760799,0.0083972340390584
B9J08_004100,,4.965966819,-4.9538534679988,3.19293701253591e-13
B9J08_001581,,4.336657823,-4.31135228764287,2.00383074328275e-05
B9J08_000656,MGD1,-4.267964232,4.28168980098756,1.48238197682307e-63
B9J08_003981,MDR1,-4.034310333,4.04180792245621,1.3626590385832601e-19
B9J08_003891,,4.000801888,-3.94731434264175,1.79761770647957e-13
B9J08_001899,,3.890896381,-3.88399219040262,8.79913852380642e-08
B9J08_001155,,3.88616764,-3.89354298384147,3.02569995239997e-11
B9J08_004109,,3.624762839,-3.62069777236312,1.46156905742851e-35
B9J08_004446,,3.552788117,-3.54730895468264,4.2009168401895494e-11
B9J08_003908,,-3.441573375,3.47339385357564,1.20388510014383e-10
B9J08_004545,,3.32557288,-3.31999215733934,0.0091209723987839
B9J08_004602,,3.251021232,-3.24070417462471,0.0053239172705841
B9J08_003657,,3.082734328,-3.08641857444562,1.26515044932281e-23
