Rank	GeneID	baseMean	log2FoldChange	FoldChange	Direction	padj
1	B9J08_03782	8354.7	3.159	8.9	Down in KO	< 1e-300
2	B9J08_03737	2387.2	4.058	16.7	Down in KO	< 1e-300
3	B9J08_03708	14069.1	6.817	112.7	Down in KO	< 1e-300
4	B9J08_03214	5675.3	5.158	35.7	Down in KO	< 1e-300
5	B9J08_01167	165960.5	5.066	33.5	Down in KO	< 1e-300
6	B9J08_00860	12042.6	8.033	261.9	Down in KO	< 1e-300
7	B9J08_02698	6295.2	2.919	7.6	Down in KO	3.56e-305
8	B9J08_03181	38396.5	2.192	4.6	Down in KO	2.87e-294
9	B9J08_00523	2654.8	5.015	32.3	Down in KO	1.04e-254
10	B9J08_03375	5587.7	2.379	5.2	Down in KO	1.26e-246
11	B9J08_02896	3928.6	2.505	5.7	Down in KO	9.87e-239
12	B9J08_01408	3597.0	2.454	5.5	Down in KO	1.24e-236
13	B9J08_04757	21735.3	2.205	4.6	Down in KO	3.47e-236
14	B9J08_04846	1691.8	3.111	8.6	Down in KO	4.59e-231
15	B9J08_03307	24137.3	1.799	3.5	Down in KO	1.13e-176
16	B9J08_03700	985.1	3.319	10.0	Down in KO	6.68e-171
17	B9J08_02659	15395.4	1.995	4.0	Down in KO	2.22e-163
18	B9J08_00529	3202.5	-1.904	3.7	Up in KO	1.01e-158
19	B9J08_00453	558.6	5.359	41.1	Down in KO	2.94e-157
20	B9J08_03814	2339.6	-2.066	4.2	Up in KO	2.22e-156
