Gene_ID,LFC_invitro,FDR_invitro,LFC_invivo,FDR_invivo,Gene_Name,Annotation
B9J08_001458,8.61154965577644,4.78043380221795e-29,4.4660697236889,7.10115421555503e-26,SCF1,adhesion
B9J08_004451,6.809597233068,7.97266615130151e-37,2.85921485489226,0.000240470143601091,,
B9J08_000592,5.9919844459542,5.93226474051703e-25,1.796473970048,0.00031932312378044,,
B9J08_004112,5.06925262565473,3.81026703850233e-24,2.55754000743024,1.84051378467048e-06,ALS5,adhesion
B9J08_004100,4.96596681948609,2.50097678532703e-19,3.67629532876781,1.35240296444135e-49,,
B9J08_001581,4.33665782315069,1.31234465275834e-17,2.05086556610966,1.88224337797671e-11,,
B9J08_003891,4.00080188782614,2.37781927292302e-05,4.95126958644618,2.31692974834006e-26,,
B9J08_001899,3.89089638118006,7.92175112468776e-10,2.48284129986517,7.45867278780873e-38,,
B9J08_004109,3.62476283910436,1.85580950442299e-10,3.1396945236913,3.35564933164414e-61,IFF4109,adhesion
B9J08_004446,3.5527881170192,1.34240836478557e-10,2.26332871277308,8.84068301466119e-14,,
B9J08_004545,3.32557287965057,6.48753636067578e-05,1.59564004742444,6.3628466511339e-09,,
B9J08_004098,3.04108422907796,4.62359939145388e-08,1.05257017993769,0.00683967715024836,,
B9J08_004544,2.97824706567991,8.33604246824903e-08,2.97628748662496,9.51455003869292e-18,,
B9J08_001362,2.52252394908093,2.12779325584337e-08,2.45152227500587,2.84296220415083e-08,,
B9J08_002256,2.49623304699594,3.70423737420673e-06,1.37402561239594,6.47737236966606e-06,,
B9J08_002886,2.29818004341463,6.55818399264591e-07,1.23335233912344,0.00031932312378044,,
B9J08_000724,2.25881933563826,1.02115227118392e-06,2.45568568182085,7.23128878677014e-08,,
B9J08_004479,2.23613905673293,1.86383219844297e-05,1.29127942569667,2.74430656826386e-07,,
B9J08_000398,2.12109135136939,0.000216447768806296,1.71749509276784,1.28131515026513e-06,SAP7,adhesion
B9J08_003694,1.8926058616156,0.000599977257051096,1.33445858636301,2.59569966166579e-05,,
B9J08_004135,1.85863684635883,0.000178405345153355,1.13353606690067,0.0027908710930919,,
B9J08_001132,1.74235128625114,0.00837363520384,1.15319848657646,7.02642340892352e-06,,
B9J08_000594,1.6230241183991,0.00370398284951446,1.72207130323216,2.06085714849243e-06,,
